,Sr. No.,Date,Day,Description
0,1,1-Jan-20,Wednesday,New Years Day
1,2,20-Jan-20,Monday,"Martin Luther King, Jr. Day"
2,3,17-Feb-20,Monday,Washington's Birthday
3,4,10-Apr-20,Friday,Good Friday
4,5,25-May-20,Monday,Memorial Day
5,6,3-Jul-20,Friday,Independence Day
6,7,7-Sep-20,Monday,Labor Day
7,8,26-Nov-20,Thursday,Thanksgiving Day
8,9,25-Dec-20,Friday,Christmas Day
